image,mask
.\image\t18-01516_345.png,.\mask\t18-01516_345-mask.png
.\image\t18-01144_253.png,.\mask\t18-01144_253-mask.png
.\image\t18-01516_287.png,.\mask\t18-01516_287-mask.png
.\image\1000002477_312.png,.\mask\1000002477_312-mask.png
.\image\t18-01144_3.png,.\mask\t18-01144_3-mask.png
.\image\t18-01516_464.png,.\mask\t18-01516_464-mask.png
.\image\1000002477_379.png,.\mask\1000002477_379-mask.png
.\image\t18-01516_395.png,.\mask\t18-01516_395-mask.png
.\image\1000003222_226.png,.\mask\1000003222_226-mask.png
.\image\1000003222_391.png,.\mask\1000003222_391-mask.png
.\image\1000003222_206.png,.\mask\1000003222_206-mask.png
.\image\t18-01516_232.png,.\mask\t18-01516_232-mask.png
.\image\1000002477_311.png,.\mask\1000002477_311-mask.png
.\image\1000002477_402.png,.\mask\1000002477_402-mask.png
.\image\t18-01144_178.png,.\mask\t18-01144_178-mask.png
.\image\t18-01516_465.png,.\mask\t18-01516_465-mask.png
.\image\t18-01516_100.png,.\mask\t18-01516_100-mask.png
.\image\t18-01516_479.png,.\mask\t18-01516_479-mask.png
.\image\t18-01144_306.png,.\mask\t18-01144_306-mask.png
.\image\1000002477_404.png,.\mask\1000002477_404-mask.png
.\image\t18-01144_392.png,.\mask\t18-01144_392-mask.png
.\image\t18-01516_249.png,.\mask\t18-01516_249-mask.png
.\image\t18-01516_28.png,.\mask\t18-01516_28-mask.png
.\image\1000002477_297.png,.\mask\1000002477_297-mask.png
.\image\1000002477_447.png,.\mask\1000002477_447-mask.png
.\image\1000002477_345.png,.\mask\1000002477_345-mask.png
.\image\1000003222_407.png,.\mask\1000003222_407-mask.png
.\image\t18-01144_97.png,.\mask\t18-01144_97-mask.png
.\image\t18-01516_283.png,.\mask\t18-01516_283-mask.png
.\image\t18-01144_465.png,.\mask\t18-01144_465-mask.png
.\image\t18-01144_471.png,.\mask\t18-01144_471-mask.png
.\image\t18-01516_254.png,.\mask\t18-01516_254-mask.png
.\image\1000003222_345.png,.\mask\1000003222_345-mask.png
.\image\t18-01516_425.png,.\mask\t18-01516_425-mask.png
.\image\1000003222_170.png,.\mask\1000003222_170-mask.png
.\image\t18-01516_458.png,.\mask\t18-01516_458-mask.png
.\image\1000003222_305.png,.\mask\1000003222_305-mask.png
.\image\t18-01144_500.png,.\mask\t18-01144_500-mask.png
.\image\t18-01516_302.png,.\mask\t18-01516_302-mask.png
.\image\t18-01516_370.png,.\mask\t18-01516_370-mask.png
.\image\t18-01144_14.png,.\mask\t18-01144_14-mask.png
.\image\t18-01144_145.png,.\mask\t18-01144_145-mask.png
.\image\t18-01516_250.png,.\mask\t18-01516_250-mask.png
.\image\1000003222_107.png,.\mask\1000003222_107-mask.png
.\image\t18-01516_294.png,.\mask\t18-01516_294-mask.png
.\image\1000002477_116.png,.\mask\1000002477_116-mask.png
.\image\1000002477_496.png,.\mask\1000002477_496-mask.png
.\image\t18-01144_195.png,.\mask\t18-01144_195-mask.png
.\image\t18-01144_157.png,.\mask\t18-01144_157-mask.png
.\image\t18-01144_436.png,.\mask\t18-01144_436-mask.png
.\image\t18-01144_373.png,.\mask\t18-01144_373-mask.png
.\image\t18-01516_409.png,.\mask\t18-01516_409-mask.png
.\image\t18-01516_148.png,.\mask\t18-01516_148-mask.png
.\image\t18-01516_93.png,.\mask\t18-01516_93-mask.png
.\image\t18-01516_179.png,.\mask\t18-01516_179-mask.png
.\image\t18-01516_468.png,.\mask\t18-01516_468-mask.png
.\image\1000003222_159.png,.\mask\1000003222_159-mask.png
.\image\t18-01516_150.png,.\mask\t18-01516_150-mask.png
.\image\t18-01144_204.png,.\mask\t18-01144_204-mask.png
.\image\1000002477_419.png,.\mask\1000002477_419-mask.png
.\image\1000003222_327.png,.\mask\1000003222_327-mask.png
.\image\t18-01516_382.png,.\mask\t18-01516_382-mask.png
.\image\t18-01516_175.png,.\mask\t18-01516_175-mask.png
.\image\1000003222_396.png,.\mask\1000003222_396-mask.png
.\image\1000003222_228.png,.\mask\1000003222_228-mask.png
.\image\t18-01516_246.png,.\mask\t18-01516_246-mask.png
.\image\1000002477_235.png,.\mask\1000002477_235-mask.png
.\image\1000003222_243.png,.\mask\1000003222_243-mask.png
.\image\t18-01144_453.png,.\mask\t18-01144_453-mask.png
.\image\t18-01144_308.png,.\mask\t18-01144_308-mask.png
.\image\1000003222_17.png,.\mask\1000003222_17-mask.png
.\image\t18-01144_33.png,.\mask\t18-01144_33-mask.png
.\image\t18-01516_286.png,.\mask\t18-01516_286-mask.png
.\image\t18-01516_445.png,.\mask\t18-01516_445-mask.png
.\image\t18-01516_39.png,.\mask\t18-01516_39-mask.png
.\image\1000003222_351.png,.\mask\1000003222_351-mask.png
.\image\1000002477_86.png,.\mask\1000002477_86-mask.png
.\image\1000002477_355.png,.\mask\1000002477_355-mask.png
.\image\1000002477_101.png,.\mask\1000002477_101-mask.png
.\image\t18-01516_381.png,.\mask\t18-01516_381-mask.png
.\image\t18-01144_396.png,.\mask\t18-01144_396-mask.png
.\image\t18-01516_9.png,.\mask\t18-01516_9-mask.png
.\image\t18-01516_369.png,.\mask\t18-01516_369-mask.png
.\image\t18-01144_128.png,.\mask\t18-01144_128-mask.png
.\image\t18-01516_499.png,.\mask\t18-01516_499-mask.png
.\image\1000002477_254.png,.\mask\1000002477_254-mask.png
.\image\t18-01516_401.png,.\mask\t18-01516_401-mask.png
.\image\t18-01516_228.png,.\mask\t18-01516_228-mask.png
.\image\t18-01144_156.png,.\mask\t18-01144_156-mask.png
.\image\t18-01144_54.png,.\mask\t18-01144_54-mask.png
.\image\1000002477_480.png,.\mask\1000002477_480-mask.png
.\image\t18-01516_233.png,.\mask\t18-01516_233-mask.png
.\image\t18-01516_120.png,.\mask\t18-01516_120-mask.png
.\image\1000002477_349.png,.\mask\1000002477_349-mask.png
.\image\1000003222_417.png,.\mask\1000003222_417-mask.png
.\image\t18-01144_417.png,.\mask\t18-01144_417-mask.png
.\image\t18-01516_403.png,.\mask\t18-01516_403-mask.png
.\image\t18-01516_231.png,.\mask\t18-01516_231-mask.png
.\image\t18-01516_101.png,.\mask\t18-01516_101-mask.png
.\image\1000003222_70.png,.\mask\1000003222_70-mask.png
.\image\1000002477_190.png,.\mask\1000002477_190-mask.png
.\image\1000002477_451.png,.\mask\1000002477_451-mask.png
.\image\t18-01516_451.png,.\mask\t18-01516_451-mask.png
.\image\1000002477_81.png,.\mask\1000002477_81-mask.png
.\image\t18-01516_192.png,.\mask\t18-01516_192-mask.png
.\image\1000002477_97.png,.\mask\1000002477_97-mask.png
.\image\t18-01144_104.png,.\mask\t18-01144_104-mask.png
.\image\1000003222_354.png,.\mask\1000003222_354-mask.png
.\image\t18-01516_355.png,.\mask\t18-01516_355-mask.png
.\image\t18-01516_74.png,.\mask\t18-01516_74-mask.png
.\image\1000002477_73.png,.\mask\1000002477_73-mask.png
.\image\1000003222_399.png,.\mask\1000003222_399-mask.png
.\image\1000002477_338.png,.\mask\1000002477_338-mask.png
.\image\t18-01516_141.png,.\mask\t18-01516_141-mask.png
.\image\t18-01144_189.png,.\mask\t18-01144_189-mask.png
.\image\1000003222_323.png,.\mask\1000003222_323-mask.png
.\image\t18-01144_360.png,.\mask\t18-01144_360-mask.png
.\image\t18-01516_337.png,.\mask\t18-01516_337-mask.png
.\image\t18-01144_223.png,.\mask\t18-01144_223-mask.png
.\image\t18-01516_81.png,.\mask\t18-01516_81-mask.png
.\image\1000003222_22.png,.\mask\1000003222_22-mask.png
.\image\1000003222_200.png,.\mask\1000003222_200-mask.png
.\image\t18-01516_495.png,.\mask\t18-01516_495-mask.png
.\image\t18-01516_427.png,.\mask\t18-01516_427-mask.png
.\image\t18-01144_238.png,.\mask\t18-01144_238-mask.png
.\image\t18-01144_461.png,.\mask\t18-01144_461-mask.png
.\image\1000003222_110.png,.\mask\1000003222_110-mask.png
.\image\t18-01516_133.png,.\mask\t18-01516_133-mask.png
.\image\t18-01516_475.png,.\mask\t18-01516_475-mask.png
.\image\t18-01144_479.png,.\mask\t18-01144_479-mask.png
.\image\t18-01144_17.png,.\mask\t18-01144_17-mask.png
.\image\t18-01144_29.png,.\mask\t18-01144_29-mask.png
.\image\1000002477_354.png,.\mask\1000002477_354-mask.png
.\image\1000002477_90.png,.\mask\1000002477_90-mask.png
.\image\1000002477_238.png,.\mask\1000002477_238-mask.png
.\image\1000002477_241.png,.\mask\1000002477_241-mask.png
.\image\t18-01516_325.png,.\mask\t18-01516_325-mask.png
.\image\1000003222_482.png,.\mask\1000003222_482-mask.png
.\image\1000003222_409.png,.\mask\1000003222_409-mask.png
.\image\1000003222_300.png,.\mask\1000003222_300-mask.png
.\image\t18-01516_181.png,.\mask\t18-01516_181-mask.png
.\image\t18-01144_58.png,.\mask\t18-01144_58-mask.png
.\image\1000002477_256.png,.\mask\1000002477_256-mask.png
.\image\1000002477_208.png,.\mask\1000002477_208-mask.png
.\image\t18-01516_455.png,.\mask\t18-01516_455-mask.png
.\image\1000003222_416.png,.\mask\1000003222_416-mask.png
.\image\1000003222_330.png,.\mask\1000003222_330-mask.png
.\image\t18-01516_281.png,.\mask\t18-01516_281-mask.png
.\image\t18-01144_343.png,.\mask\t18-01144_343-mask.png
.\image\t18-01144_459.png,.\mask\t18-01144_459-mask.png
.\image\1000002477_418.png,.\mask\1000002477_418-mask.png
.\image\1000003222_148.png,.\mask\1000003222_148-mask.png
.\image\1000003222_188.png,.\mask\1000003222_188-mask.png
.\image\1000003222_268.png,.\mask\1000003222_268-mask.png
.\image\t18-01144_385.png,.\mask\t18-01144_385-mask.png
.\image\1000002477_155.png,.\mask\1000002477_155-mask.png
.\image\t18-01144_495.png,.\mask\t18-01144_495-mask.png
.\image\t18-01516_14.png,.\mask\t18-01516_14-mask.png
.\image\t18-01144_175.png,.\mask\t18-01144_175-mask.png
.\image\t18-01516_266.png,.\mask\t18-01516_266-mask.png
.\image\t18-01144_380.png,.\mask\t18-01144_380-mask.png
.\image\t18-01144_460.png,.\mask\t18-01144_460-mask.png
.\image\t18-01516_334.png,.\mask\t18-01516_334-mask.png
.\image\t18-01516_109.png,.\mask\t18-01516_109-mask.png
.\image\t18-01144_138.png,.\mask\t18-01144_138-mask.png
.\image\1000002477_291.png,.\mask\1000002477_291-mask.png
.\image\t18-01516_29.png,.\mask\t18-01516_29-mask.png
.\image\t18-01516_356.png,.\mask\t18-01516_356-mask.png
.\image\t18-01144_316.png,.\mask\t18-01144_316-mask.png
.\image\t18-01144_341.png,.\mask\t18-01144_341-mask.png
.\image\t18-01516_449.png,.\mask\t18-01516_449-mask.png
.\image\t18-01144_399.png,.\mask\t18-01144_399-mask.png
.\image\t18-01144_406.png,.\mask\t18-01144_406-mask.png
.\image\1000003222_205.png,.\mask\1000003222_205-mask.png
.\image\t18-01516_493.png,.\mask\t18-01516_493-mask.png
.\image\1000003222_273.png,.\mask\1000003222_273-mask.png
.\image\1000002477_180.png,.\mask\1000002477_180-mask.png
.\image\t18-01144_331.png,.\mask\t18-01144_331-mask.png
.\image\t18-01144_262.png,.\mask\t18-01144_262-mask.png
.\image\t18-01144_200.png,.\mask\t18-01144_200-mask.png
.\image\t18-01144_383.png,.\mask\t18-01144_383-mask.png
.\image\t18-01516_21.png,.\mask\t18-01516_21-mask.png
.\image\t18-01144_80.png,.\mask\t18-01144_80-mask.png
.\image\t18-01516_36.png,.\mask\t18-01516_36-mask.png
.\image\t18-01144_242.png,.\mask\t18-01144_242-mask.png
.\image\1000003222_135.png,.\mask\1000003222_135-mask.png
.\image\t18-01144_26.png,.\mask\t18-01144_26-mask.png
.\image\1000002477_129.png,.\mask\1000002477_129-mask.png
.\image\t18-01516_117.png,.\mask\t18-01516_117-mask.png
.\image\1000002477_243.png,.\mask\1000002477_243-mask.png
.\image\1000003222_69.png,.\mask\1000003222_69-mask.png
.\image\t18-01516_236.png,.\mask\t18-01516_236-mask.png
.\image\1000003222_78.png,.\mask\1000003222_78-mask.png
.\image\t18-01516_399.png,.\mask\t18-01516_399-mask.png
.\image\t18-01144_389.png,.\mask\t18-01144_389-mask.png
.\image\1000003222_119.png,.\mask\1000003222_119-mask.png
.\image\1000003222_383.png,.\mask\1000003222_383-mask.png
.\image\1000003222_372.png,.\mask\1000003222_372-mask.png
.\image\1000002477_337.png,.\mask\1000002477_337-mask.png
.\image\t18-01144_315.png,.\mask\t18-01144_315-mask.png
.\image\1000002477_426.png,.\mask\1000002477_426-mask.png
.\image\1000002477_270.png,.\mask\1000002477_270-mask.png
.\image\1000002477_360.png,.\mask\1000002477_360-mask.png
.\image\t18-01516_121.png,.\mask\t18-01516_121-mask.png
.\image\t18-01144_487.png,.\mask\t18-01144_487-mask.png
.\image\1000003222_191.png,.\mask\1000003222_191-mask.png
.\image\t18-01516_11.png,.\mask\t18-01516_11-mask.png
.\image\t18-01144_443.png,.\mask\t18-01144_443-mask.png
.\image\1000003222_172.png,.\mask\1000003222_172-mask.png
.\image\t18-01144_144.png,.\mask\t18-01144_144-mask.png
.\image\1000002477_108.png,.\mask\1000002477_108-mask.png
.\image\1000003222_459.png,.\mask\1000003222_459-mask.png
.\image\1000002477_295.png,.\mask\1000002477_295-mask.png
.\image\t18-01516_76.png,.\mask\t18-01516_76-mask.png
.\image\t18-01144_464.png,.\mask\t18-01144_464-mask.png
.\image\t18-01516_443.png,.\mask\t18-01516_443-mask.png
.\image\t18-01516_312.png,.\mask\t18-01516_312-mask.png
.\image\1000002477_409.png,.\mask\1000002477_409-mask.png
.\image\t18-01144_11.png,.\mask\t18-01144_11-mask.png
.\image\1000003222_421.png,.\mask\1000003222_421-mask.png
.\image\1000003222_101.png,.\mask\1000003222_101-mask.png
.\image\t18-01516_389.png,.\mask\t18-01516_389-mask.png
.\image\1000002477_382.png,.\mask\1000002477_382-mask.png
.\image\t18-01516_436.png,.\mask\t18-01516_436-mask.png
.\image\1000002477_271.png,.\mask\1000002477_271-mask.png
.\image\1000003222_150.png,.\mask\1000003222_150-mask.png
.\image\1000002477_424.png,.\mask\1000002477_424-mask.png
.\image\1000003222_153.png,.\mask\1000003222_153-mask.png
.\image\t18-01144_481.png,.\mask\t18-01144_481-mask.png
.\image\1000002477_455.png,.\mask\1000002477_455-mask.png
.\image\1000003222_321.png,.\mask\1000003222_321-mask.png
.\image\1000003222_29.png,.\mask\1000003222_29-mask.png
.\image\t18-01144_76.png,.\mask\t18-01144_76-mask.png
.\image\1000002477_486.png,.\mask\1000002477_486-mask.png
.\image\1000003222_11.png,.\mask\1000003222_11-mask.png
.\image\1000003222_232.png,.\mask\1000003222_232-mask.png
.\image\t18-01144_312.png,.\mask\t18-01144_312-mask.png
.\image\t18-01144_484.png,.\mask\t18-01144_484-mask.png
.\image\1000003222_58.png,.\mask\1000003222_58-mask.png
.\image\t18-01516_113.png,.\mask\t18-01516_113-mask.png
.\image\t18-01516_328.png,.\mask\t18-01516_328-mask.png
.\image\1000003222_131.png,.\mask\1000003222_131-mask.png
.\image\t18-01144_24.png,.\mask\t18-01144_24-mask.png
.\image\t18-01516_424.png,.\mask\t18-01516_424-mask.png
.\image\t18-01516_142.png,.\mask\t18-01516_142-mask.png
.\image\t18-01144_367.png,.\mask\t18-01144_367-mask.png
.\image\t18-01516_494.png,.\mask\t18-01516_494-mask.png
.\image\1000003222_145.png,.\mask\1000003222_145-mask.png
.\image\1000003222_77.png,.\mask\1000003222_77-mask.png
.\image\t18-01144_290.png,.\mask\t18-01144_290-mask.png
.\image\1000003222_303.png,.\mask\1000003222_303-mask.png
.\image\1000003222_472.png,.\mask\1000003222_472-mask.png
.\image\1000002477_224.png,.\mask\1000002477_224-mask.png
.\image\t18-01144_427.png,.\mask\t18-01144_427-mask.png
.\image\t18-01144_493.png,.\mask\t18-01144_493-mask.png
.\image\t18-01516_12.png,.\mask\t18-01516_12-mask.png
.\image\1000003222_6.png,.\mask\1000003222_6-mask.png
.\image\1000002477_417.png,.\mask\1000002477_417-mask.png
.\image\1000003222_62.png,.\mask\1000003222_62-mask.png
.\image\t18-01144_67.png,.\mask\t18-01144_67-mask.png
.\image\t18-01516_177.png,.\mask\t18-01516_177-mask.png
.\image\1000003222_402.png,.\mask\1000003222_402-mask.png
.\image\t18-01144_84.png,.\mask\t18-01144_84-mask.png
.\image\1000002477_250.png,.\mask\1000002477_250-mask.png
.\image\t18-01144_45.png,.\mask\t18-01144_45-mask.png
.\image\t18-01144_214.png,.\mask\t18-01144_214-mask.png
.\image\t18-01516_185.png,.\mask\t18-01516_185-mask.png
.\image\t18-01516_67.png,.\mask\t18-01516_67-mask.png
.\image\1000003222_276.png,.\mask\1000003222_276-mask.png
.\image\t18-01144_60.png,.\mask\t18-01144_60-mask.png
.\image\1000003222_269.png,.\mask\1000003222_269-mask.png
.\image\1000002477_119.png,.\mask\1000002477_119-mask.png
.\image\t18-01144_94.png,.\mask\t18-01144_94-mask.png
.\image\1000002477_192.png,.\mask\1000002477_192-mask.png
.\image\t18-01144_221.png,.\mask\t18-01144_221-mask.png
.\image\1000002477_191.png,.\mask\1000002477_191-mask.png
.\image\1000003222_294.png,.\mask\1000003222_294-mask.png
.\image\t18-01144_350.png,.\mask\t18-01144_350-mask.png
.\image\1000003222_258.png,.\mask\1000003222_258-mask.png
.\image\1000002477_436.png,.\mask\1000002477_436-mask.png
.\image\t18-01144_277.png,.\mask\t18-01144_277-mask.png
.\image\t18-01516_374.png,.\mask\t18-01516_374-mask.png
.\image\1000003222_167.png,.\mask\1000003222_167-mask.png
.\image\1000002477_72.png,.\mask\1000002477_72-mask.png
.\image\1000002477_391.png,.\mask\1000002477_391-mask.png
.\image\1000002477_139.png,.\mask\1000002477_139-mask.png
.\image\t18-01144_173.png,.\mask\t18-01144_173-mask.png
.\image\1000003222_199.png,.\mask\1000003222_199-mask.png
.\image\t18-01144_190.png,.\mask\t18-01144_190-mask.png
.\image\t18-01144_2.png,.\mask\t18-01144_2-mask.png
.\image\t18-01144_347.png,.\mask\t18-01144_347-mask.png
.\image\1000002477_157.png,.\mask\1000002477_157-mask.png
.\image\1000003222_108.png,.\mask\1000003222_108-mask.png
.\image\1000002477_464.png,.\mask\1000002477_464-mask.png
.\image\1000003222_308.png,.\mask\1000003222_308-mask.png
.\image\t18-01144_102.png,.\mask\t18-01144_102-mask.png
.\image\1000002477_195.png,.\mask\1000002477_195-mask.png
.\image\1000003222_486.png,.\mask\1000003222_486-mask.png
.\image\1000003222_71.png,.\mask\1000003222_71-mask.png
.\image\1000003222_277.png,.\mask\1000003222_277-mask.png
.\image\t18-01516_137.png,.\mask\t18-01516_137-mask.png
.\image\1000003222_157.png,.\mask\1000003222_157-mask.png
.\image\t18-01144_236.png,.\mask\t18-01144_236-mask.png
.\image\t18-01144_353.png,.\mask\t18-01144_353-mask.png
.\image\1000003222_329.png,.\mask\1000003222_329-mask.png
.\image\1000002477_351.png,.\mask\1000002477_351-mask.png
.\image\t18-01516_473.png,.\mask\t18-01516_473-mask.png
.\image\1000003222_265.png,.\mask\1000003222_265-mask.png
.\image\1000002477_342.png,.\mask\1000002477_342-mask.png
.\image\t18-01516_20.png,.\mask\t18-01516_20-mask.png
.\image\t18-01144_305.png,.\mask\t18-01144_305-mask.png
.\image\t18-01516_263.png,.\mask\t18-01516_263-mask.png
.\image\t18-01144_216.png,.\mask\t18-01144_216-mask.png
.\image\1000002477_166.png,.\mask\1000002477_166-mask.png
.\image\t18-01516_470.png,.\mask\t18-01516_470-mask.png
.\image\t18-01144_294.png,.\mask\t18-01144_294-mask.png
.\image\t18-01516_30.png,.\mask\t18-01516_30-mask.png
.\image\t18-01516_173.png,.\mask\t18-01516_173-mask.png
.\image\1000002477_280.png,.\mask\1000002477_280-mask.png
.\image\t18-01516_343.png,.\mask\t18-01516_343-mask.png
.\image\1000002477_443.png,.\mask\1000002477_443-mask.png
.\image\1000002477_273.png,.\mask\1000002477_273-mask.png
.\image\1000003222_239.png,.\mask\1000003222_239-mask.png
.\image\1000003222_427.png,.\mask\1000003222_427-mask.png
.\image\1000002477_150.png,.\mask\1000002477_150-mask.png
.\image\t18-01144_77.png,.\mask\t18-01144_77-mask.png
.\image\1000003222_212.png,.\mask\1000003222_212-mask.png
.\image\1000002477_350.png,.\mask\1000002477_350-mask.png
.\image\1000003222_180.png,.\mask\1000003222_180-mask.png
.\image\t18-01144_298.png,.\mask\t18-01144_298-mask.png
.\image\t18-01144_386.png,.\mask\t18-01144_386-mask.png
.\image\t18-01144_442.png,.\mask\t18-01144_442-mask.png
.\image\t18-01516_392.png,.\mask\t18-01516_392-mask.png
.\image\1000003222_9.png,.\mask\1000003222_9-mask.png
.\image\t18-01144_213.png,.\mask\t18-01144_213-mask.png
.\image\1000002477_99.png,.\mask\1000002477_99-mask.png
.\image\t18-01516_90.png,.\mask\t18-01516_90-mask.png
.\image\1000002477_202.png,.\mask\1000002477_202-mask.png
.\image\1000002477_367.png,.\mask\1000002477_367-mask.png
.\image\1000003222_14.png,.\mask\1000003222_14-mask.png
.\image\t18-01144_266.png,.\mask\t18-01144_266-mask.png
.\image\1000003222_462.png,.\mask\1000003222_462-mask.png
.\image\t18-01144_428.png,.\mask\t18-01144_428-mask.png
.\image\t18-01516_363.png,.\mask\t18-01516_363-mask.png
.\image\1000003222_453.png,.\mask\1000003222_453-mask.png
.\image\t18-01516_151.png,.\mask\t18-01516_151-mask.png
.\image\t18-01144_171.png,.\mask\t18-01144_171-mask.png
.\image\1000002477_187.png,.\mask\1000002477_187-mask.png
.\image\t18-01144_250.png,.\mask\t18-01144_250-mask.png
.\image\1000003222_93.png,.\mask\1000003222_93-mask.png
.\image\1000003222_408.png,.\mask\1000003222_408-mask.png
.\image\1000003222_342.png,.\mask\1000003222_342-mask.png
.\image\1000002477_441.png,.\mask\1000002477_441-mask.png
.\image\1000003222_36.png,.\mask\1000003222_36-mask.png
.\image\1000003222_331.png,.\mask\1000003222_331-mask.png
.\image\1000003222_454.png,.\mask\1000003222_454-mask.png
.\image\t18-01516_237.png,.\mask\t18-01516_237-mask.png
.\image\t18-01144_499.png,.\mask\t18-01144_499-mask.png
.\image\1000002477_380.png,.\mask\1000002477_380-mask.png
.\image\1000003222_267.png,.\mask\1000003222_267-mask.png
.\image\t18-01144_432.png,.\mask\t18-01144_432-mask.png
.\image\t18-01516_303.png,.\mask\t18-01516_303-mask.png
.\image\1000002477_261.png,.\mask\1000002477_261-mask.png
.\image\1000003222_104.png,.\mask\1000003222_104-mask.png
.\image\1000003222_217.png,.\mask\1000003222_217-mask.png
.\image\t18-01516_108.png,.\mask\t18-01516_108-mask.png
.\image\t18-01516_167.png,.\mask\t18-01516_167-mask.png
.\image\1000002477_233.png,.\mask\1000002477_233-mask.png
.\image\1000002477_378.png,.\mask\1000002477_378-mask.png
.\image\t18-01516_364.png,.\mask\t18-01516_364-mask.png
.\image\1000003222_52.png,.\mask\1000003222_52-mask.png
.\image\1000002477_499.png,.\mask\1000002477_499-mask.png
.\image\1000002477_372.png,.\mask\1000002477_372-mask.png
.\image\1000002477_392.png,.\mask\1000002477_392-mask.png
.\image\1000002477_207.png,.\mask\1000002477_207-mask.png
.\image\1000003222_7.png,.\mask\1000003222_7-mask.png
.\image\1000002477_214.png,.\mask\1000002477_214-mask.png
.\image\t18-01516_326.png,.\mask\t18-01516_326-mask.png
.\image\t18-01516_47.png,.\mask\t18-01516_47-mask.png
.\image\1000003222_257.png,.\mask\1000003222_257-mask.png
.\image\1000002477_145.png,.\mask\1000002477_145-mask.png
.\image\1000003222_66.png,.\mask\1000003222_66-mask.png
.\image\t18-01516_10.png,.\mask\t18-01516_10-mask.png
.\image\1000003222_99.png,.\mask\1000003222_99-mask.png
.\image\1000003222_366.png,.\mask\1000003222_366-mask.png
.\image\t18-01144_36.png,.\mask\t18-01144_36-mask.png
.\image\t18-01144_13.png,.\mask\t18-01144_13-mask.png
.\image\t18-01516_218.png,.\mask\t18-01516_218-mask.png
.\image\t18-01144_181.png,.\mask\t18-01144_181-mask.png
.\image\1000002477_413.png,.\mask\1000002477_413-mask.png
.\image\t18-01144_12.png,.\mask\t18-01144_12-mask.png
.\image\1000002477_416.png,.\mask\1000002477_416-mask.png
.\image\1000002477_303.png,.\mask\1000002477_303-mask.png
.\image\t18-01516_234.png,.\mask\t18-01516_234-mask.png
.\image\t18-01516_361.png,.\mask\t18-01516_361-mask.png
.\image\1000002477_115.png,.\mask\1000002477_115-mask.png
.\image\1000003222_146.png,.\mask\1000003222_146-mask.png
.\image\1000003222_138.png,.\mask\1000003222_138-mask.png
.\image\t18-01516_15.png,.\mask\t18-01516_15-mask.png
.\image\t18-01516_336.png,.\mask\t18-01516_336-mask.png
.\image\1000002477_89.png,.\mask\1000002477_89-mask.png
.\image\t18-01516_127.png,.\mask\t18-01516_127-mask.png
.\image\t18-01516_400.png,.\mask\t18-01516_400-mask.png
.\image\t18-01144_227.png,.\mask\t18-01144_227-mask.png
.\image\t18-01516_421.png,.\mask\t18-01516_421-mask.png
.\image\1000002477_266.png,.\mask\1000002477_266-mask.png
.\image\1000003222_497.png,.\mask\1000003222_497-mask.png
.\image\t18-01144_217.png,.\mask\t18-01144_217-mask.png
.\image\t18-01516_62.png,.\mask\t18-01516_62-mask.png
.\image\1000002477_84.png,.\mask\1000002477_84-mask.png
.\image\1000003222_400.png,.\mask\1000003222_400-mask.png
.\image\t18-01144_83.png,.\mask\t18-01144_83-mask.png
.\image\1000002477_172.png,.\mask\1000002477_172-mask.png
.\image\t18-01516_245.png,.\mask\t18-01516_245-mask.png
.\image\t18-01144_451.png,.\mask\t18-01144_451-mask.png
.\image\1000002477_393.png,.\mask\1000002477_393-mask.png
.\image\1000002477_423.png,.\mask\1000002477_423-mask.png
.\image\t18-01516_457.png,.\mask\t18-01516_457-mask.png
.\image\t18-01144_284.png,.\mask\t18-01144_284-mask.png
.\image\1000002477_484.png,.\mask\1000002477_484-mask.png
.\image\1000002477_209.png,.\mask\1000002477_209-mask.png
.\image\1000002477_78.png,.\mask\1000002477_78-mask.png
.\image\1000003222_95.png,.\mask\1000003222_95-mask.png
.\image\t18-01144_112.png,.\mask\t18-01144_112-mask.png
.\image\t18-01144_139.png,.\mask\t18-01144_139-mask.png
.\image\t18-01144_169.png,.\mask\t18-01144_169-mask.png
.\image\1000002477_314.png,.\mask\1000002477_314-mask.png
.\image\t18-01144_469.png,.\mask\t18-01144_469-mask.png
.\image\t18-01144_377.png,.\mask\t18-01144_377-mask.png
.\image\t18-01144_398.png,.\mask\t18-01144_398-mask.png
.\image\t18-01516_89.png,.\mask\t18-01516_89-mask.png
.\image\1000002477_275.png,.\mask\1000002477_275-mask.png
.\image\t18-01516_103.png,.\mask\t18-01516_103-mask.png
.\image\t18-01516_210.png,.\mask\t18-01516_210-mask.png
.\image\t18-01516_299.png,.\mask\t18-01516_299-mask.png
.\image\t18-01516_1.png,.\mask\t18-01516_1-mask.png
.\image\1000003222_183.png,.\mask\1000003222_183-mask.png
.\image\1000002477_388.png,.\mask\1000002477_388-mask.png
.\image\t18-01516_104.png,.\mask\t18-01516_104-mask.png
.\image\1000003222_343.png,.\mask\1000003222_343-mask.png
.\image\t18-01144_219.png,.\mask\t18-01144_219-mask.png
.\image\1000003222_203.png,.\mask\1000003222_203-mask.png
.\image\1000002477_246.png,.\mask\1000002477_246-mask.png
.\image\1000003222_118.png,.\mask\1000003222_118-mask.png
.\image\1000002477_143.png,.\mask\1000002477_143-mask.png
.\image\1000002477_460.png,.\mask\1000002477_460-mask.png
.\image\1000003222_448.png,.\mask\1000003222_448-mask.png
.\image\t18-01516_110.png,.\mask\t18-01516_110-mask.png
.\image\1000002477_219.png,.\mask\1000002477_219-mask.png
.\image\t18-01516_295.png,.\mask\t18-01516_295-mask.png
